"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
Efektivitas program diukur dengan membandingkan kondisi sebelum dan sesudah program dijalankan,Efektivitas program diukur kaliyan mbandingaken kondisisadereng uga sasampun program dipunradinaken 
Salah satu manfaat hasil studi ini berupa masukan bagi penyelenggaraan PNPM Generasi dan Program Keluarga Harapan,salah satunggal gina pikantuk studi niki berupa mlebetan kunjuk penyelenggaraan PNPM Generasi uga Program KeluargaHarapan 
Studi juga menyediakan latar belakang konteks sosial beberapa lokasi program,Studi ugi nyawisaken latar wingking konteks sosial beberapalokasi program
"Secara khusus , tujuan studi baseline kualitatif untuk program PNPM Generasi dan PKH ini adalah 1","sacara khusus , tujuan studi baseline kualitatif konjuk programPNPM Generasi uga PKH niki yaiku 1 "
Jawaban dari pertanyaan tersebut digali dari sisi supply (ketersediaan pelayanan) dan demand (penggunaan pelayanan),wangsulan saking pitakenan kesebat dipunduduk saking sisisupply (ketersediaan paladosan) uga demand (pangginan paladosan) 
Rincian pertanyaan pokok disajikan dalam Tabel 1,Rincian pitakenan baku dipuncawisaken lebet Tabel 1 
Daftar informan dan FGD di setiap desa/kelurahan disajikan pada Lampiran 1,Daftar informan uga FGD ing saben dhusun/kelurahan dipuncawisaken ing Lampiran 1 
Wawancara mendalam terhadap informan kunci menggunakan panduan pertanyaan,Wawancara nglebet majeng informan kunci ngginakaken panduan pitakenan 
FGD dilakukan menggunakan panduan pertanyaan diskusi,FGD dipuntumindakake ngginakaken panduan pitakenan diskusi 
Delapan FGD telah dilakukan di setiap desa,wolu FGD sampun dipuntumindakake ing saben dhusun 
dan satu kelompok bapak dari anak usia SMP,uga setunggal kelompok bapak saking anak umur SMP 
Beberapa pengamatan terhadap posyandu kemudian dilakukan setelah penelitian lapangan utama selesai,Beberapa panyangetan majeng posyandu lajeng dipuntumindakake saksampune penelitian lapangan utami rampung 
Seluruh hasil wawancara dan FGD dicatat dalam catatan lapangan (field notes) yang lengkap,sedaya pikantuk wawancara uga FGD dipuncatet lebet catetan lapangan (field notes) ingkang pepak 
"Di Provinsi Jawa Barat , dua kabupaten yang dipilih adalah Kabupaten Sumedang dan Kabupaten Cirebon","ing Provinsi Jawi kilen , kalih kabupaten ingkang dipunpileh yaiku Kabupaten Sumedang uga Kabupaten Cirebon "
Peta kabupaten dan kecamatan tersebut dapat dilihat pada Lampiran 2-6,Peta kabupaten uga kecamatan kesebat saged dipunningal ing Lampiran 2-6 
Kriteria tambahan dalam pemilihan desa/kelurahan adalah jarak dari puskesmas dan tingkat keaktifan posyandu,Kriteria minggahan lebet pamilehan dhusun/kelurahan yaiku antawis saking puskesmas uga tingkat kaktifan posyandu 
Pemilihan desa/kelurahan juga mempertimbangkan keberadaan dan jadwal penyelenggaraan posyandu,pamilehan dhusun/kelurahan ugi metang kewontenan uga jadwalpenyelenggaraan posyandu 
"Atas dasar kriteria di atas , studi baseline kualitatif ini telah dilakukan di 24 desa/kelurahan (Tabel 2)","inggil dasar kriteria ing inggil , studi baseline kualitatif niki sampun dipuntumindakake ing 24 dhusun/kelurahan (Tabel 2) "
Di setiap desa/kelurahan dipilih dua area (biasanya dusun) sebagai wilayah studi di tingkat komunitas,ing saben dhusun/kelurahan dipunpileh kalih area (biyasanipun dusun) dados wilayah studi ing tingkat komunitas 
"Diupayakan supaya di antara peserta FGD , ada juga yang sedang hamil","Diupayakan supados ing antawis pamawi FGD , enten ugi ingkang saweg ngandheg "
"Di antara peserta tersebut , juga diupayakan supaya ada orang tua yang anaknya putus sekolah atau tidak melanjutkan sekolah","ing antawis pamawi kesebat , ugi diupayakan supados enten tiyang sepuh ingkang anakipun putus sekolah utawi mboten nglajengaken sekolah "
Pemilihan sekolah ini pada kebanyakan kasus dilakukan setelah dilakukan FGD di tingkat SD dan SMP,pamilehan sekolah niki ing kekathahen kasus dipuntumindakake saksampune dipuntumindakake FGD ing tingkat SD uga SMP 
1.5 Struktur Laporan Laporan ini dibagi menjadi lima bab,1.5 Struktur Laporan Laporan niki dipunpara dados gangsal bab 
Bab III merupakan sintesis dari ketersediaan dan penggunaan pelayanan kesehatan ibu dan anak,Bab III ngrupikaken sintesis saking ketersediaan uga pangginan paladosan kesarasan ibu uga anak 
Bab IV merupakan sintesis dari ketersediaan dan penggunaan pelayanan pendidikan dasar,Bab IV ngrupikaken sintesis saking ketersediaan uga pangginan paladosan pamucalan dasar 
Bab V menyajikan kesimpulan dari keseluruhan penelitian dan rekomendasi untuk pelaksanaan dan hasil PNPM Generasi dan PKH,Bab V nyawisaken kesimpulan saking kesedayan penelitian uga rekomendasi konjuk pamontenan uga pikantuk PNPM Generasiuga PKH 
satu desa yang mudah diakses dan satu desa yang relatif sulit diakses,setunggal dhusun ingkang gampil diakses uga setunggal dhusun ingkang relatif rekaos diakses 
"Selain pertimbangan pemilihan tersebut , pertimbangan lainnya adalah bahwa kedua kelurahan memiliki dukun beranak paling banyak","kajawi pertimbangan pamilehan kesebat , pertimbanganbentenipun yaiku menawi kaping kalih kelurahan nggadhahi dukun nduwe anak paling kathah "
"Namun , ada juga dua desa yang masih mengalami hambatan dalam mengakses sarana angkutan umum","nanging , enten ugi kalih dhusun ingkang taksih ngalami hambatan lebet mengakses pirantos usungan umum "
"Desa Pamekaran di Kecamatan Rancakalong , Sumedang dan Desa Tangkil di Kecamatan Susukan , Cirebon","dhusun Pamekaran ing Kecamatan Rancakalong , Sumedanguga dhusun Tangkil ing Kecamatan sesepanaken , Cirebon "
Desa Boentuka di Kecamatan Batu Putih khususnya berada di jalur jalan utama Kupang-Soe,dhusun Boentuka ing Kecamatan sela pethak khususnya wonten ing jalur radin utami Kupang-Soe 
"Jika musim hujan tiba , jalan tersebut menjadi licin dan tidak bisa dilalui oleh kendaraan","menawi musim jawah tiba , radin kesebat dados licin uga mboten sanguh kelangkungan dening tumpakan "
Akses ke semua desa sampel di Jawa Barat dan NTT disajikan dalam Lampiran 7,Akses datheng sedaya dhusun sampel ing Jawi kilen uga NTTdipuncawisaken lebet Lampiran 7
Hanya Desa Sukaratu di Kecamatan Darmaraja yang wilayahnya relatif rata,namung dhusun Sukaratu ing Kecamatan Darmaraja ingkang wilayahnya relatif radin 
"Selain itu , di Kecamatan Buahdua , kedua desa sampel juga dilalui beberapa sungai","kajawi punika , ing Kecamatan Buahdua , kaping kalih dhusun sampel ugi kelangkungan beberapa lepen "
Semua desa di Kabupaten TTU dan Kabupaten TTS juga berada di dataran tinggi berbukit,sedaya dhusun ing Kabupaten TTU uga Kabupaten TTS ugi wonten ing waradinan inggil berbukit 
Dua kelurahan di Kota Kupang juga berada di dataran rendah yang relatif dekat dengan pantai,kalih kelurahan ing kitha Kupang ugi wonten ing waradinan andhap ingkang relatif celak kaliyan pantai 
Sebagian masyarakat NTT juga mengandalkan tanaman tahunan/keras,sakunjukan masyarakat NTT ugi nyandhalaken taneman taunan/atos 
"Selain lahannya tidak subur , curah hujannya pun sangat rendah","kajawi pasitenipun mboten subur , curah jawahipun pun andhap sanget "
"Oleh karena itu , mereka tidak hanya mengandalkan pertanian lahan kering saja , namun mereka juga beternak dan berkebun","sarehdenten punika , piyambake sedaya mboten namung nyandhalaken pertanian pasiten aking kamawon , nanging piyambake sedaya ugi ngingah uga ngebon "
"Di seluruh desa sampel di Kabupaten Sumedang , sebagian besar masyarakatnya bekerja sebagai petani penggarap padi sawah","ing sedaya dhusun sampel ing Kabupaten Sumedang ,sakunjukan ageng masyarakatnya nyambut damel dados petanipenggarap pantun sabin "
"Hal ini juga terlihat dari proporsi penggunaan lahan yang didominasi oleh lahan pertanian , terutama berupa lahan sawah","Hal niki ugi keningal saking proporsi pangginan pasiten ingkang didominasi dening pasiten pertanian , paling utami berupapasiten sabin "
"Di Desa Bojongloa , Kecamatan Buahdua , ada pula yang berkebun kelapa , kopi , cengkeh , lada , dan vanili","ing dhusun Bojongloa , Kecamatan Buahdua , enten ugi ingkang ngebon krambil , kopi , cengkeh , lada , uga vanili "
"Bahkan , luas lahan sawahnya mendominasi wilayah desa","Bahkan , wiyar pasiten sabinipun mendominasi wilayah dhusun "
Masyarakat pesisir di Desa Mundu Pesisir dan Desa Mertasinga lebih banyak yang bekerja sebagai nelayan,Masyarakat panyerat ing dhusun Mundu panyerat uga dhusun Mertasinga langkung kathah ingkang nyambut damel dados nelayan 
"Selain itu , sebagian dari mereka juga bekerja sebagai pedagang , tukang ojek , atau PNS","kajawi punika , sakunjukan saking piyambake sedaya ugi nyambut damel dados panggramen , tukang ojek , utawi PNS "
"Khususnya di Desa Fatufetto , ada juga yang bekerja sebagai nelayan","Khususnya ing dhusun Fatufetto , enten ugi ingkang nyambut damel dados nelayan "
"Namun , di dua kelurahan di Kota Kupang , rumah penduduk sudah didominasi oleh bangunan permanen","nanging , ing kalih kelurahan ing kitha Kupang , griya para wargi sampun didominasi dening wungon permanen "
Sebagian besar desa sampel di Kabupaten Cirebon juga mengalami kesulitan air bersih,sakunjukan ageng dhusun sampel ing Kabupaten Cirebon ugi ngalami kerekaosan toya resik 
Kondisi kelangkaan air bersih yang lebih buruk lagi dihadapi oleh masyarakat di NTT,Kondisi kawisan toya resik ingkang langkung awon malih dipunmajengi dening masyarakat ing NTT 
"Di musim kemarau , air bersih menjadi barang langka bagi masyarakat","ing musim ketigen , toya resik dados barang awis kunjuk masyarakat "
"Selain itu , ada juga beberapa desa yang menjadi lokasi berbagai industri pengolahan","kajawi punika , enten ugi beberapa dhusun ingkang dados lokasimacem-macem industri pengolahan "
"Di Desa Mundu Pesisir , selain terdapat industri pengolahan berskala kecil , terdapat pula industri pengolahan berskala besar","ing dhusun Mundu panyerat , kajawi enten industri pengolahanberskala alit , enten ugi industri pengolahan berskala ageng"
Tingkat kepadatan penduduk dua desa perkotaan di Kabupaten Cirebon berbeda jauh,tingkat kepadatan para wargi kalih dhusun kithan ing KabupatenCirebon benten tebih 
"Di desa-desa sampel di TTU dan TTS , jumlah laki-laki cenderung lebih besar daripada jumlah perempuan , kecuali di Desa Oehela","ing dhusun-dhusun sampel ing TTU uga TTS , wilangan kakung cenderung langkung ageng daripada wilangan estri , kajawi ing dhusun Oehela "
2.4 Kelompok Komunitas dan Kelembagaan Kelembagaan standar di tingkat desa/kelurahan yang seharusnya ada meliputi ,2.4 Kelompok Komunitas uga Kelembagaan Kelembagaanstandar ing tingkat dhusun/kelurahan ingkang sakedahipun enten meliputi 
"BPD (badan permusyawaratan desa) , yaitu lembaga yang mengawasi kinerja aparat desa;","BPD (badan permusyawaratan dhusun) , yaiku lembaga ingkang mengawasi kinerja aparat dhusun; "
"Lembaga Pemberdayaan Masyarakat (LPM) , yaitu pihak yang membantu kepala desa/kelurahan dalam melaksanakan pembangunan desa;","Lembaga Pemberdayaan Masyarakat (LPM) , yaiku pihakingkang mbiantu sirah dhusun/kelurahan lebet nglampahi pamungon dhusun; "
"Karang taruna sebagai lembaga yang mengkoordinasi berbagai kegiatan kepemudaan , seperti kesenian dan olahraga; ","Karang taruna dados lembaga ingkang mengkoordinasi macem-macem kengungkukan kepemudan , kados kesenian uga olahraga; "
"PKK (Program Kesejahteraan Keluarga; diketuai oleh istri kepala desa/kelurahan) , yaitu wadah kegiatan ibu-ibu; dan ","PKK (Program Kesejahteraan Keluarga; dipunpandegani dening semah sirah dhusun/kelurahan) , yaiku ajang kengungkukan ibu-ibu; uga "
"Setiap lembaga desa tersebut tidak selalu ada atau disebutkan di setiap desa sampel , baik di Jawa Barat maupun di NTT","saben lembaga dhusun kesebat mboten salajeng enten utawi kanamanaken ing saben dhusun sampel , sae ing Jawi kilen kersaa ing NTT "
"Demikian pula , kinerja tiap lembaga berbeda-beda antardesa sampel , seperti dapat dilihat dalam Lampiran 10","mekaten ugi , kinerja saben lembaga benten-beda antardesasampel , kados saged dipunningal lebet Lampiran 10 "
"Demikian pula halnya di Desa Oehela , Kecamatan Batu Putih","mekaten ugi halnya ing dhusun Oehela , Kecamatan sela pethak "
Masyarakat dan aparat desa setempat juga berinisiatif untuk membangun sebuah TK,Masyarakat uga aparat dhusun sapanggen ugi berinisiatif konjuk mungu setunggal TK 
Demikian pula halnya di NTT yang semarak juga dengan kegiatan komunitas gereja,mekaten ugi halnya ing NTT ingkang semarak ugi kaliyan kengungkukan komunitas gereja 
"Di hampir semua desa sampel , terdapat polindes yang dikelola oleh bidan desa","ing hampir sedaya dhusun sampel , enten polindes ingkang dikelola dening bidan dhusun "
"Selain itu , di setiap kecamatan , juga tersedia puskesmas dan di beberapa desa , juga ada puskesmas pembantu","kajawi punika , ing saben kecamatan , ugi sampun dicawis puskesmas uga ing beberapa dhusun , ugi enten puskesmasrencang "
"Bagi wilayah terpencil di NTT , puskesmas juga menyediakan fasilitas pusling yang melayani masyarakat tiga kali seminggu","kunjuk wilayah terpencil ing NTT , puskesmas ugi nyawisaken fasilitas pusling ingkang ngladosi masyarakat kaping telu seminggu "
Ketersediaan fasilitas pelayanan KIA di desa sampel di Jawa Barat dapat dilihat dalam Lampiran 11,Ketersediaan fasilitas paladosan KIA ing dhusun sampel ing Jawi kilen saged dipunningal lebet Lampiran 11 
Setiap posyandu biasanya dikelola oleh tiga hingga lima orang kader,saben posyandu biyasanipun dikelola dening telu ngantos gangsal tiyang kader 
"Dengan demikian , bidan desa dapat dengan lebih mudah mengkoordinasi pelaksanaannya","kaliyan mekaten , bidan dhusun saged kaliyan langkung gampil mengkoordinasi pamontenanipun "
Konsekuensi negatifnya adalah bahwa masyarakat harus menempuh jarak yang cukup jauh untuk datang ke polindes tersebut,Konsekuensi negatifnya yaiku menawi masyarakat kedah menempuh antawis ingkang cekap tebih konjuk datheng datheng polindes kesebat 
Hampir semua bidan desa juga membuka praktik di luar jam kerja dinasnya,Hampir sedaya bidan dhusun ugi mbikak praktik ing njawi jam nyambut damel dinasnya
"Oleh karenanya , masyarakat juga dapat dengan mudah mengakses tempat praktik bidan desa atau bidan swasta","sarehdentenipun , masyarakat ugi saged kaliyan gampil mengakses panggen praktik bidan dhusun utawi bidan swasta "
"Selain itu , ada juga desa yang menjadi lokasi pustu , yaitu Desa Pamekaran di Kabupaten Sumedang","kajawi punika , enten ugi dhusun ingkang dados lokasi pustu ,yaiku dhusun Pamekaran ing Kabupaten Sumedang "
"Di NTT , hanya di Desa Taunbaen , Kecamatan Biboki Utara terdapat pustu","ing NTT , namung ing dhusun Taunbaen , Kecamatan Biboki ler enten pustu "
Masyarakat desa lainnya harus mengakses puskesmas atau pustu yang ada di luar desa,Masyarakat dhusun bentenipun kedah mengakses puskesmasutawi pustu ingkang enten ing njawi dhusun 
Hal ini tidak berlaku di wilayah perkotaan,Hal niki mboten majeng ing wilayah kithan 
"Di beberapa desa di NTT , bahkan hanya ada SD swasta beragama , seperti SDK (sekolah dasar Katolik)","ing beberapa dhusun ing NTT , bahkan namung enten SDswasta nduwe agami , kados SDK (sekolah dasar Katolik) "
"Di Jawa Barat , masyarakat dapat mengakses fasilitas sekolah setingkat SMP dengan relatif mudah","ing Jawi kilen , masyarakat saged mengakses fasilitas sekolahsatingkat SMP kaliyan relatif gampil "
"Selain itu , mereka juga masih bisa menjangkau sekolah lainnya yang berada di luar wilayah kecamatan","kajawi punika , piyambake sedaya ugi taksih sanguh menjangkausekolah bentenipun ingkang wonten ing njawi wilayah kecamatan"
"Misalnya , masyarakat Desa Tangkil dapat mengakses SMP yang berada di Kecamatan Caringin dan Kecamatan Arjawinangun","kados ta , masyarakat dhusun Tangkil saged mengakses SMPingkang wonten ing Kecamatan Caringin uga KecamatanArjawinangun "
