"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
"Prajurit, apa kesalahan orang ini sampai sampai sebegitu teganya kamu menghajar dirinya? Tanya putri Arum Dalu sambil mendekati prajurit itu.","Prajurit, apa kesalahane wong iki nganti tekan semono tegele kowe milara dheweke? Pitakoni Putri Arum Dalu kanthi nyendhaki prajurit kuwi."
"Mengertilah, saudara! Dirinya itu tidak mau membayar pajak tidur.","Mangertiya, ki sanak! Dheweke kuwi ora gelem mbayar pajek turu."
Makanya dirinya harus dihajar! Jawabnya prajurit dengan angkuhnya.,Mula dheweke kudu dipilara! Jawabe si prajurit karo sesongaran.
"Jika begitu, ambillah uang enam puluh keping ini.","Yen mangkono, tampanen dhuwit sewidak benggol iki."
"Setelah ini, kamu cepat pergi. Jangan Kembali lagi! Bentak Putri Arum Dalu sambil melemparkan uang enam puluh keping di depan prajurit itu.","Bubar kuwi, kowe enggal lunga. Aja bali maneh! Panyentake Putri Arum Dalu sinambi nguncalake dhuwit sewidak benggol ing ngarape prajurit iku."
"Ketika prajurit itu ingin pergi, ada angin semilir membawa bau harum.","Nalika prajurit iku arep mungkur, ana ingin sumilir nggawa ganda arum."
Si prajurit jadi ketakutan.,Si prajurit dadi kewedan.
Dirinya teringat bahwa bau seperti tadi itu dari bau putri junjungannya yakni Putri Arum Dalu.,Dheweke kelingan yen ganda kaya ngono mau kuwi saka gandane putri junjungane ya Putri Arum Dalu. 
"Tanpa berpikir panjang lagi, si prajurit lalu pergi ke kerajaan.","Kanthi ora mikir dawa maneh, si prajurit banjur mlayu menyang kraton."
"Sampai di kerajaan, keadaan kerajaan Pepeteng sedang hening karena Raja Candhala sedang marah-marah dan menghukum para penjaga dan pembantu kerajaan dikarenakan Putri Arum Dalu kabur tanpa ada yang melihat.","Nalika tekan kraton, kahanane karaton Pepeteng lagi tintrim jalaran ratu Candhala lagi duka-duka lan ngukumi para nayakaning paraja apadene para abdi kraton sawuse Putri Arum Dalu lolos tanpa ana sing nyipati."
"Hai prajurit tidak sopan! Apa kau tidak melihat jika diriku sedang marah? Kau malah berani ada dihadapku itu ada perlu apa, ha! kata raja Candhala dengan suara keras dan mata melotot.","He prajurit murang tata! Apa kowe ora weruh yen ingsun lagi duka? Kowe marak sowan ana ngarepku kuwi duwe prelu apa, he! Ngendikane ratu Candhala kanthi swara kang sora lan mripat mentheleng."
"Mohon maaf, paduka.","Nuwun gunging sih pangaksami, suniwun."
Ujar prajurit yang baru tiba itu sambil bergegar ketakutan.,Ujare prajurit kang lagi teka kuwi karo groyok kaweden.
"Saya tadi, bertemu dengan pemuda tampan.","Kula matur, bilih kala wau kula pinanggih kaliyan sawenehing priyantun anem bagus."
Pemuda itu menghentikan ketika saya sedang menghukum rakyat yang membangkang tidak mau membayar pajak.,Priyantun wau nyandhet anggen kula badhe ngukum kawula ingkang mbangkang boten purun mbayer pajek.
Pemuda itu lalu menyuruh saya agar tidak kembali lagi sambil memberikan uang enam puluh keping.,Priyantun wau lajeng ndawuhi kula supados boten wangsul mriku malih kanthi nyaosi arta sewidak benggol.
"Ketika saya mau pergi, saya mencium bau seperti bau Putri Arum Dalu.","Nalika kula badhe kesah saking ngeriku, kula mambet ganda kandos gandanipun Putri Arum Dalu."
Jika perkataanmu itu benar itu pasti anakku yang kabur dari kerajaan.,Menawa aturmu kuwi bener kuwi mesthi putriku kang lolos saka kraton.
Ayo kita cepat menyusul dirinya.,Mula ayo kita enggal nututi dheweke.
"Namun, jika perkataanmu itu salah, aku akan memberi hukuman mati kepada kau!","Nanging, yen kandhamu kuwi kleru, ingsun bakal paring pidana pati marang kowe!"
"Tanpa menunggu lama, raja Candhala bersama dengan prajurit yang baru tiba itu dan beberapa prajurit cepat membuntuti jejak Putri Arum Dalu.","Ora gantalan suwe, ratu Candhala bebarengan karo prajurit kang nembe teka iku lan sauntara prajurit enggal nututi lakune Putri Arum Dalu."
"Ketika sudah mendekati tempat Putri Arum Dalu, raja  Candhala dan para prajurit mencium bau wangi yang semerbak.","Nalika wus nyaketi papane Putri Arum Dalu, ratu Candhala lan para pandhereke mambu ganda arum kang sumerbak."
Raja Candhala tidak ragu lagi bahwa bau itu dari bau anak tercintanya.,Ratu Candhala ora pangling maneh yen ganda mau saka gandane putri kinasihe.
Lebih-lebih ketika orang yang bau harum itu sedang membagikan uang kepada para rakyat.,Luwih-luwih bareng pirsa yen wong kang gandane arum kuwi lagi ngedum dhuwit marang para kawula.
Hai anak baik! Aku tidak bisa kamu bohongi.,He bocah bagus! Aku ora bisa kok apusi.
Kamu pasti Putri Arum Dalu! Ucap raja Candhala.,Kowe mesthi Arum Dalu! Pocape ratu Candhala.
"Benar, Ayah.","Kasinggihan, Rama."
Saya memang anak ayahanda.,Kula pancen putri panjenengan.
Namun saya tidak mau kembali ke kerajaan jika ayahanda tidak mau mengakhiri tindakan ayahanda yang selalu membuat orang lain sengsara.,Nanging kula boten badhe wangsul ing kraton menawi panjenengan boten kersa mungkasi tumindak panjenengan ingkang remen damel sengsaraning tiyang sanes.
Tidak bisa! Aku ini adalah raja yang berhak membuat aturan kepada siapa saja di wilayah kerajaan Pepeteng ini.,Ora bisa! Ingsun iki jejere ratu kang wenang gawe prentah marang sapa bae ing wewengkon kraton Pepeteng kene.
Termasuk memerintahkan membayar pajak tidur kepada rakyat.,Kalebu mrentahake mbayar pajek turu marang kawula.
"Jadi kamu tidak berhak melarang diriku, Arum Dalu!","Dadi kowe ora wenang nyahak karo aku, Arum Dalu!"
"Kalau begitu, jangan ayahanda menghalang-halangi keinginan saya pergi dari kerajaan.","Yen mekaten, sampun panjenengan alang-alangi anggen kula kesah saking kraton."
"Mendengar ucapan Putri Arum Dalu, raja Candhala menjadi murka.","Mireng ature Putri Arum Dalu kang pungkasan iku, ratu Candhala muntab penggalihe."
Dirinya cepat menangkap anaknya dengan maksud membawa pulang ke kerajaan.,Dheweke enggal nubruk putrine saperlu arep diglandhang kondur ing kraton.
Putri Arum Dalu mendadak hilang dan di tempat hilangnya Putri Arum Dalu hilang tumbuh tanaman bunga.,Putri Arum Dalu dumadakan musna lan ing sadhuwuring papane Putri Arum Dalu musna tuwuh wit kembang.
Bunga tersebut semerbak baunya.,Kembang kuwi amrik gandane.
"Mengetahui bahwa anaknya sudah berubah menjadi bunga, raja Cendhala hatinya sedih tidak karu-karuan.","Pirsa menawa putrine wus malih dadi kembang, ratu Candhala penggalihe sedhih ora karuwan-ruwan."
"Badannya lemas, matanya berkaca-kaca, kemudian menangis menyesali atas perbuatannya.","Badane lemes, tlapukane kembeng-kembeng, banjur muwun nggetuni marang tumindake."
Sejak itu juga raja Candhala kemudian bertobat dan bersumpah tidak mengulangi perbuatannya yang tidak baik itu.,Wiwit iku uga ratu Candhala banjur mratobat lan prasetya nglereni marang pokale sing ora apik mau.
"Guna mengobati hatinya, tanaman bunga itu kemudian dipindah di taman putri kerajaan.","Kanggo nglipur penggalihe, wit kembang iku banjur dipindah ing taman keputren kraron."
Malamnya tanaman bunga tersebut tumbuh kuncup dan mekar bunganya.,Bengine wit kembang kuwi tumuli kuncup lan mekar kembange.
Baunya semerbak menyebar hingga seluruh tempat.,Gandane amrik semibar tekan sadhengah papan.
"Akhirnya, bunga itu disebut bunga Arum Dalu.","Wekasane, kembang kuwi kasebut kembang Arum Dalu."
Saudagar Klutut.,Saudagar Klutut.
Jaman dahulu terdapat saudagar kaya bernama Klutut.,Jaman biyen ana saudagar sugih jeneng Klutut.
"Dikarenakan giatnya bekerja, semakin hari kekayaannya semakin bertambah.","Amarga saka pethele anggone nyambut gawe, saya dina kasugihane saya tambah."
"Meskipun kaya, dirinya terkenal karena pelit dan medit.","Sanadyan sugih, dheweke kawentar anggone medhit lan centhil."
"Kasihan, sekarang dirinya sedang mempunyai penyakit koreng ing jari kakainya.","Eman, saiki dheweke lagi nandhang lelara koreng ing driji sukune."
Hatinya jadi sedih sekali.,Atine dadi sedhih banget.
"Untuk menutupi sakitnya itu, dirinya kemudian menggunakan terompah setiap hari.","Kanggo nutupi lelarane kuwi, dheweke banjur nganggo selop saben dina"
Tujuannya jangan sampai ada orang melihatnya.,Pamrihe aja nganti ana wong weruh.
"Namun, lama-lama sakitnya itu semakin menjadi.","Nanging, suwe-suwe lelarane kuwi saya ndadi."
Maka dirinya memanggil tabib yang sangat dipercaya.,Mula dheweke ngundang tabib kang banget dipercaya.
Kamu dipanggil datang kesini karena saya sedang mempunyai sakit.,Kowe dakjaluk teka mrene jalaran aku lagi nandhang lelara.
Ucap saudagar Klutut membuka cerita ketika tabib itu datang di rumahnya.,Pocape saudagar Klutut mbukani rembug nalika tabib kuwi teka ing ngomahe.
"Lalu apa yang sedang anda rasakan, Pak Klutut?","Lanjeng menapa ingkang saweg panjenengan raosaken, Pak Klutut?"
"Sebelum saya menceritakan sakitku, saya mohon supaya kamu mau janji tidak akan membuka rahasiaku.","Sadurunge aku mblakakake lelaraku, aku njaluk supaya kowe gelem janji ora bakal mbukak wewadiku."
"Jika sampai menceritakan kepada orang lain, kamu akan kulaporkan kepada yang berkuasa.","Yen nganti nyritakake marang liyan, kowe bakal daklapurake sing kuwasa."
"Iya, saja janji.","Inggih, kula janji."
Sebenarnya aku sakit koreng di jari kakiku sebelah kanan.,Satemene aku lara korengan ing driji sikilku sisih tengen.
"Karena malu, ujung-ujungnya sakitku belum diobati.","Amarga isin, saprana-seprene lelaraku durung daktambakake."
Maka kamu kuminta kesini itu karena lukaku sudah semakin menjadi.,Mula kowe dakjaluk mrene iki karana lelaraku wus saya nemen.
"Untuk menutupi luka, terompah ini tidak pernah kulepas.","Kanggo nutupi lelaraku, selop iki ora tau dakuculi."
Kata Saudagar Klutut sambil melepas terompahnya dan memperlihatkan lukanya.,Kandhane saudagar Klutut sinambi nyopot selope lan nuduhake lelarane.
"Ketika tabib itu melihat lukanya saudagar Klutut, cepat-cepat tabib itu menutup hidungnya.","Bareng tabib kuwi weruh lelarane saudagar Klutut, gage-gage tabib iku nutupi irunge."
Baunya busuk tidak karuan.,Ambune badheg ora karuwan.
"Namun, agar yang sedang sakit tidak marah, dirinya kemudian berpura-pura batuk.","Nanging, supaya sing lagi lara ora muring, dheweke banjur ethok-ethok watuk."
Bagaimana? Apa kamu bisa meengobati lukaku itu? Tanya saudagar Klutut penuh harap.,Kepriye? Apa kowe bisa nambani lelaraku iku? Pitakone saudagar Klutut kebak ing pangarep-arep.
"Moga-moga saja, Pak Klutut! Ungkap si tabib sambil mengeluarkan obat-obatan dari tasnya.","Mugi-mugi kemawon, Pak Klutut! Celathune si tabib karo ngetokake sawetara obat-obatan saka tase."
"Dengan terampil, kaki saudagar Klutut kemudian dirawat oleh si tabib.","Kanthi trampil, sikil saudagar Klutut banjur diupakara dening si tabib."
Sebentar saja lalu selesai.,Sadhela bae banjur rampung.
Setelah itu si tabib ijin pulang.,Bubar kuwi si tabib pamit mulih.
"Sepeninggal dari saudagar Klutut, si tabib selalu memikirkan mengenai penyakitnya orang kaya itu.","Sapungkure saka saudagar Klutut, si tabib tansah nggagas-nggagas bab lelarane wong sugih kuwi."
"Sambil berjalan menuju rumahnya, mulut si tabib rasa-rasanya ingin berteriak.","Sinambi mlaku menyang omahe, cangkeme si tabib kumudu-kudu kepengen mbengok."
Saking tidak kuatnya menahan keinginannya itu dirinya kemudian berteriak mengenai penyakitnya saudagar Klutut itu.,Saking ora kuwate ngampet pepenginane kuwi dheweke banjur muni sora bab lelarane saudagar Klutut kuwi.
Tidak disangka si tabib bahwa teriakannya didengar oleh seekor kijang yang sedang lewat di dekatnya.,Ora nglegewa si tabib dene pambengoke dirungokake dening sawinjing kidang kang nuju liwat ing sacedhake.
"Setelah berteriak, hatinya si tabib terasa lega.","Bubar mbengok, atine si tabib krasa lega."
Hati dan pikirannnya jadi tentram.,Ati lan nalare dadi tentrem.
"Beberapa hari berselang, diceritakan saudagar Klutut ingin mengganti terompahnya.","Sauntara dina candhake, kacarita saudagar Klutut kepengin ngganti selope."
Dirinya ingin menggunakan terompah baru karena terompahnya yang sekarang dipakai dilihat sudah tidak pantas digunakan lagi.,Dheweke kepengin nganggo selop anyar jalaran selope kang saiki dianggo disawang wus ora pantes dianggo maneh.
"Lalu, orang kaya itu kemudian meminta kepada tukang pemburu hewan agar dicarikan kulit rusa untuk dibuat terompah baru.","Mula, wong sugih kuwi banjur akon marang tukang mbebedhag kewan supaya nggolekake kulit kidang kanggo gawe selop anyar."
"Setelah menyanggupi perintah, tukang berburu hewan itu kemudian pergi ke hutan.","Sawuse nyendikani dhawuh, tukang mbebedhag kewan kuwi nuli lunga menyang alas."
"Tidak sampai seminggu, si tukang berburu sudah kembali ke rumahnya saudagar Klutut sambil membawa kulit rusa.","Ora nganti seminggu, si tukang mbebedhag wus bali menyang omahe saudagar Klutut karo nggawa kulit kidang."
Kebetulan rusa yang dibunuh dan diambil kulitnya itu rusa yang pernah mendengar teriakan si tabib waktu itu.,Kabeneran kidang kang dipateni lan dijupuk kulite kuwi kidang kang nate krungu pambengoke si tabib kala semana.
Saya senang sekali dengan pekerjaanmu.,Aku seneng banget karo gaweyanmu.
Ini terimalah uang untuk upahmu! Kata saudagar Klutut sambil menyerahkan uang kepada tukang berburu itu.,Iki tampanen dhuwit kanggo upahmu! Kandhane saudagar Klutut karo masrahake dhuwit marang tukang mbebedhag kuwi.
Terima kasih Pak Klutut.,Matur nuwun Pak Klutut.
Ini kok banyak sekali?,Menika kok kathah sanget?
"Tidak apa-apa, karena kulit rusa ini bagus sekali untuk dibuat sepatu.","Ora apa-apa, jalaran kulit kidang iki apik banget yen digawe sepatu."
"Setelah itu, saudagar Klutut menyuruh utusannya supaya mengantarkan kulit rusa itu kepada tukang oembuat terompah.","Bubar kuwi, saudagar Klutut tumuli utusan abdine supaya ngeterake kulit kidang iku marang tukang gawe selop."
Tukang terompah kemudian mengerjakan kulit rusa itu sebagaimana mestinya.,Tukang selop banjur ngupakara kulit kidang mau kanthi samesthine.
"Setelah dinilai dapat digunakan untuk membuat terompah, kulit rusa itu kemudian dibuat terompah, tidak beberapa lama jadi.","Sawuse wus kabiji bisa diwiwiti kanggo gawe selop, kulit kidang iku bajur digawe selop, ora sauntara suwe dadi."
"Setelah jadi, mendadak terompah itu lalu bersuara keras sekali.","Sawuse dadi, dumadakan selop kuwi banjur muni seru banget."
Jari kakinya saudagar Klutu korengan!,Drijine sikil saudagar Klutut korengen!
Betapa terkejutnya tukang pembuat teromah itu setelah mendengar suara seperti itu tadi.,Mendah kagete tukang gawe selop kuwi bareng krungu swara kaya mangkono mau.
"Supaya tidak terus-menerus dirinya kaget, tukang terompah itu lalu mengantarkan terompah buatannya kepada yang memesan.","Supaya ora kedawa-dawa anggone kaget, tukang selop iku nuli ngetareke selop gaweyane marang sing pesen."
"Sedangkan yang memesan, yakni saudagar Klutut, terompah itu sangat diterima.","Dening sing pesen, iya saudagar Klutut, selop kuwi banget katarima."
"Setelah dibayar, tukang terompah kemudian pamit pulang.","Sawuse dibayar, tukang selop banjur pamit mulih."
"Terompah cepat digunakan, namun betapa kagetnya saudagar itu ketika mendengar suara keras dari terompah baru yang baru saja dipakai itu.","Selop enggal dianggo, nanging iba kagete saudagar kuwi bareng krungu swara sora saka selop anyar kang lagi bae dianggo kuwi."
Terompah baru dari kulit rusa itu berteriak.,Selop anyar saka kulit kidang iku mbengok.
Jari kaki saudagar Klutut korengan! hingga berkali-kali.,Drijine sikil saudagar Klutut korengen! nganti makaping-kaping.
Lebih-lebih ketika terompah itu tidak bisa dilepas lagi.,Luwih-luwih bareng selop kuwi ora bisa dicopot maneh.
Saudagar Klutut malu sekali mendengar suara seperti itu dikarenakan rahasianya jadi diketahui orang lain.,Saudagar Klutut isin banget krungu swara kaya ngono iku jalaran wewadine banjur kaprungu dening liyan.
Dirinya jadi teringat dengan si tabib.,Dheweke banjur kelingan karo si tabib.
Orang kaya itu kemudian menyuruh pembantunya agar memanggil si tabib.,Wong sugih kuwi tumuli utusan abdine supaya nyusul si tabib.
"Saya mohon maaf, Pak Klutut.","Nuwun gunging sih pangepunten, Pak Klutut."
Memang semua salah saya.,Pancen punika lepat kula.
"Waktu itu, sepulang dari sini, mulut saya terasa ingin berteriak-teriak mengenai penyakit anda.","Kala semanten, sabibaripun saking mriki, cangkem kula lajeng kepingin mbengok-mbengok bab wewadi panjenengan."
Kebetulan terdengar seekor rusa.,Kaleresan kapireng sawijining kidang.
"Mendengar penjelasan si tabib seperti itu, saudagar Klutut panas hatinya.","Krungu ature si tabib mangkono mau, saudagar Klutut mbedhedheg atine."
Marah dan ingin melaporkan hal ini kepada yang berwajib.,Kemropok lan kepengin nglapurake bab iki marang kang wajib.
Si tabib dinilai sudah ingkar janji.,Si tabib kabiji wus mblenjani janji.
"Namun, kemarahan saudagar Klutut kemudian reda setelah mendengar ada suara dari langit.","Nanging, nesune saudagar klutut banjur jugar lan angleh sawuse krungu ana swara saka langit."
Kamu saja senang membunuh hewan yang seharusnya dilindungi.,Sira aja seneng memateni marang sarupaning kewan kang kudu dileluri.
Supaya bisa lestari.,Ayomana amrih lestari.
Hiduplah dengan wajar jangan membangga-banggakan kekayaanmu mentang-mentang kamu orang kaya.,Uripa kanthi swantah aja ngedir-edirake kasugihanmu dumeh kowe wong sugih.
Jangan pelit dan medit.,Aja medhit lan centhil.
Suara dari langit itu kemudian hilang.,Swara saka langit kuwi banjur ilang.
Saudagar Klutut teringat semua dengan bunyi suara tadi.,Saudagar Klutut kelingan kabeh karo unine swara mau.
Hatinya jadi tenang dan tidak membangga-banggakan kekayaannya lagi.,Atine dadi sumarah lan ora ngedir-edirake kasugihane maneh.
Dirinya kemudian senang menolong kepada orang lain.,Dheweke banjur seneng tetulung marang wong liya.
Tidak pelit dan medit lagi.,Ora medhit lan centhil maneh.
"Keanehan terjadi, terompah dari kulit rusa kemudian bisa terlepas dari kakinya.","Kaelokane kahanan, selop saka kulit kidang banjur bisa uwal saka sikile."
"Dengan lepasnya terompah itu, luka saudagar Klutut smbuh seperti sedia kala.","Bareng uwale selop iku, lelarane saudagar Klutut mari kaya mula bukane."
Terompah dari kulit rusa itu kemudian hilang.,Selop saka kulit kidang iku banjur musna.
Perjalanan Dua Prajurit.,Lelakone Prajurit Loro.
Desa Cengkar jika sudah mendekati malam sepi sekali suasananya.,Desa Cengkar yen wus ngancik wayah bengi sepi banget swasanae.
"Disamping sedikit orangnya, desa itu juga terletak di lereng gunung tandus.","Kejaba sethithik wonge, desa kuwi uga ana ereng-erenging gunung padhas."
"Seperti namanya, maka desa tersebut tidak mempunyai tanah subur.","Kaya jenenge, mula desa kuwi katon yen dudu tanah loh."
